2026-06-16 21:36:11.486618 | CALLSIGN:AXB1504 | 801403
2026-06-16 21:37:24.760996 |  | 8881D7 | ALT:33975 | SPD:449 | LAT:0.0 | LON:0.0
2026-06-16 21:37:30.004209 | CALLSIGN:VJC971 | 8881D7
2026-06-16 21:41:40.577247 |  | 801591 | ALT:0 | SPD:456 | LAT:0.0 | LON:0.0
2026-06-16 21:44:43.698835 |  | 8016C8 | ALT:0 | SPD:365 | LAT:0.0 | LON:0.0
2026-06-16 21:45:14.961167 | CALLSIGN:AXB1029 | 8016C8
2026-06-16 21:52:29.698056 |  | 801454 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:53:22.064469 | CALLSIGN:IGO481E | 801454
2026-06-16 21:54:56.133855 |  | 899128 | ALT:39000 | SPD:506 | LAT:0.0 | LON:0.0
2026-06-16 21:55:01.442358 |  | 801864 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 21:56:35.556203 | CALLSIGN:CAL064 | 899128
2026-06-16 22:04:00.900149 | IGO6317 | 8015D3 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 22:04:00.900848 | CALLSIGN:IGO6317 | 8015D3
2026-06-16 22:04:32.296718 |  | 80167B | ALT:35975 | SPD:447 | LAT:0.0 | LON:0.0
2026-06-16 22:04:58.380746 | CALLSIGN:AIC6RE | 80167B
